"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"65" "MINE1-715" 8596260.76 2913853.507 5682407.252 48192.01139 27024.52664 22211.62988 "Accuri" "Muskegon" "MINE1F715" "Summer" "July" 2015 "Free" "MIN" "Surface" 28108 "MINEF715" 47.16 9.98
"66" "MINE1-914" 9447100.065 3360731.65 6086368.415 128602.8639 75525.09734 57472.63725 "Accuri" "Muskegon" "MINE1F914" "Fall" "September" 2014 "Free" "MIN" "Surface" 24505 "MINEF914" 44.86 11.19
"67" "MINE2-915" 6647631.765 2312988.547 4334643.218 72824.50101 45523.62168 42871.52807 "Accuri" "Muskegon" "MINE2F915" "Fall" "September" 2015 "Free" "MIN" "Surface" 18084 "MINEF915" 41.95 10.3
"68" "MUSINLH1-hypo-inlet-514" 5416344.337 3208599.181 2207745.156 76614.26329 26511.29562 59195.7771 "Accuri" "Muskegon" "MINH1F514" "Spring" "May" 2014 "Free" "MIN" "Deep" 37274 "MINHF514" NA NA
"69" "MINH2-515" 6695260.868 2505861.798 4189399.069 94853.47212 23780.71705 74863.19197 "Accuri" "Muskegon" "MINH2F515" "Spring" "May" 2015 "Free" "MIN" "Deep" 13174 "MINHF515" NA NA
"70" "MINH1-714" 8911216.513 3319397.042 5591819.471 117642.5419 19239.92066 104937.5505 "Accuri" "Muskegon" "MINH1F714" "Summer" "July" 2014 "Free" "MIN" "Deep" 30469 "MINHF714" NA NA
"71" "MINH1-715" 8121097.624 2786736.502 5334361.121 347454.2191 116983.2246 232479.2132 "Accuri" "Muskegon" "MINH1F715" "Summer" "July" 2015 "Free" "MIN" "Deep" 23123 "MINHF715" NA NA
"72" "MINH1-914" 8404619.652 2792948.857 5611670.795 301131.3053 155796.909 147726.692 "Accuri" "Muskegon" "MINH1F914" "Fall" "September" 2014 "Free" "MIN" "Deep" 26266 "MINHF914" NA NA
"73" "MINH2-915" 6566333.665 2267897.202 4298436.463 69186.06138 31992.35652 39836.85504 "Accuri" "Muskegon" "MINH2F915" "Fall" "September" 2015 "Free" "MIN" "Deep" 21537 "MINHF915" NA NA
"74" "MLBD2-115-2" 6482022.854 1890290.748 4591732.107 89239.77051 22338.85241 69395.64857 "Accuri" "Michigan" "MLBD2F115" "Winter" "Januari" 2015 "Free" "MLB" "Deep" 13795 "MLBDF115" NA NA
"75" "MLBD2-415-2" 1797394.891 653692.3324 1143702.558 29844.39935 9185.359313 20664.06311 "Accuri" "Michigan" "MLBD2F415" "Spring" "April" 2015 "Free" "MLB" "Deep" 4761 "MLBDF415" NA NA
"76" "MLBD2-515-DMSO" 6467748.792 3173102.145 3294646.647 32456.26965 20687.66112 31336.91747 "Accuri" "Michigan" "MLBD2F515" "Spring" "May" 2015 "Free" "MLB" "Deep" 13829 "MLBDF515" NA NA
"77" "MLBD2-715-2" 5956478.687 1821746.766 4134731.92 106517.6617 53331.0452 57960.03281 "Accuri" "Michigan" "MLBD2F715" "Summer" "July" 2015 "Free" "MLB" "Deep" 15481 "MLBDF715" NA NA
"78" "MLBD2-815" 6064997.413 1512762.531 4552234.883 58618.18356 19066.87647 39589.09653 "Accuri" "Michigan" "MLBD2F815" "Summer" "August" 2015 "Free" "MLB" "Deep" 9001 "MLBDF815" NA NA
"79" "MLB-915-2" 8170354.898 2090056.767 6080298.131 179693.2682 62610.17547 130084.6144 "Accuri" "Michigan" "MLBD2F915" "Fall" "September" 2015 "Free" "MLB" "Deep" 24069 "MLBDF915" NA NA
"80" "MLBS2-115-2" 6389492.958 1830444.778 4559048.18 59495.73606 25931.34924 49635.76262 "Accuri" "Michigan" "MLBS2F115" "Winter" "Januari" 2015 "Free" "MLB" "Surface" 11424 "MLBSF115" NA NA
"81" "MLBS2-515-DMSO" 1216693.415 321517.2723 895176.1424 49536.33707 12213.42978 37805.31421 "Accuri" "Michigan" "MLBS2F515" "Spring" "May" 2015 "Free" "MLB" "Surface" 9656 "MLBSF515" NA NA
"82" "MLBS2-715-2" 10142174.19 3445974.731 6696199.461 159412.9541 92213.7058 72231.88882 "Accuri" "Michigan" "MLBS2F715" "Summer" "July" 2015 "Free" "MLB" "Surface" 5490 "MLBSF715" NA NA
"83" "MLBS2-815" 7529908.63 1993119.508 5536789.122 204830.9089 81780.53718 125863.6094 "Accuri" "Michigan" "MLBS2F815" "Summer" "August" 2015 "Free" "MLB" "Surface" 11795 "MLBSF815" NA NA
"84" "MLBS2-915-2" 9430611.393 2727215.881 6703395.513 335532.6351 151842.8875 186942.0122 "Accuri" "Michigan" "MLBS2F915" "Fall" "September" 2015 "Free" "MLB" "Surface" 24533 "MLBSF915" NA NA
"85" "MUSOUTE1-epi-outlet-514" 4581945.151 2396938.763 2185006.388 81917.60544 63998.62508 41870.87066 "Accuri" "Muskegon" "MOTE1F514" "Spring" "May" 2014 "Free" "MOT" "Surface" 41021 "MOTEF514" 35.78 8.6
