;samples;Total.cells;HNA.cells;LNA.cells;Total.count.sd;HNA.sd;LNA.sd
Z14-63;Z14-63;3795,547753;1108,947539;2686,600214;43,2939176;29,58495376;14,18664837
Z14-65;Z14-65;1957,204374;707,5799188;1249,624456;216,1712793;46,67359786;170,3789331
Z14-67;Z14-67;1858,277671;700,8057004;1157,471971;272,7387584;101,4310373;172,06573
Z14-69;Z14-69;2512,418891;778,5636587;1733,855232;52,50800127;20,19848344;36,60186573
Z14-7;Z14-7;8078,50246;4637,987427;3440,515033;585,024846;398,9552891;189,1663052
Z14-71;Z14-71;3579,879208;1321,206898;2258,672311;53,13133225;48,65339876;5,991882325
Z14-73;Z14-73;5534,262926;1984,381604;3549,881322;43,89585017;40,36250055;7,519806139
Z14-75;Z14-75;5699,981915;2094,257295;3605,72462;185,3392347;109,5991324;75,88184993
Z14-77;Z14-77;6536,193575;2021,500991;4514,692585;76,35780296;51,38608918;26,0343514
Z14-79;Z14-79;6556,486887;2001,412927;4555,07396;46,39932271;7,226140413;40,26208702
Z14-8;Z14-8;10257,45761;1851,866196;8405,591412;226,3276841;58,22581171;171,083164
Z14-9;Z14-9;8683,505588;1791,820237;6891,685351;54,18194396;37,2703866;16,91921186
