,f_regr_HNA,p-value_HNA,kendall_HNA,p_kendall_HNA,kendall significant HNA,f_regr_LNA,p-value_LNA,kendall_LNA,p_kendall_LNA,kendall significant LNA,f_regr_TCC,p-value_TCC,kendall_TCC,p_kendall_TCC,kendall significant TCC,RL score,RL ranking,Boruta score,Boruta ranking
Otu000061,0.42676430058437675,0.5160765967096902,0.05658381808566896,0.5157395376134755,no,19.65476250462101,4.0162494317050515e-05,0.35695399259650984,4.131408476101215e-05,yes,10.943018820502822,0.0015913733489802716,0.27974616604970914,0.0013126975605401493,yes,0.006,432.0,7.270497219721668e-05,332
Otu000770,1.1260970149913199,0.2928623062414145,-0.08725542041248019,0.31623566306310347,no,4.00948104713496,0.049770734657092454,-0.19936541512427292,0.0220254425122031,yes,3.3654103496902192,0.07153832285962207,-0.19407720782654683,0.025801397653979,yes,0.054,199.0,3.15638351399025e-05,332
Otu001480,2.689519159276316,0.10624332925794076,-0.16552088841882603,0.05727744489654136,no,0.9979369880918242,0.32182207180547695,-0.17398202009518773,0.045676246657190236,yes,1.6967027801242707,0.1976973672020252,-0.20465362242199894,0.01873966285059817,yes,0.042,258.0,0.00011649078590117062,332
Otu001439,0.6568977888225965,0.4208604433139216,-0.1485986250661026,0.08785607511856974,no,0.4458705528362863,0.5068628862987419,-0.1570597567424643,0.07123094798065756,no,0.5955562714466615,0.44330746309018976,-0.17715494447382338,0.04186924985014155,yes,0.068,158.0,0.0001653735404299072,332
Otu000194,3.5596274547424684,0.06404235737953963,-0.10417768376520362,0.23146479677371512,no,4.622200634033279,0.035601615413291,-0.2120571126388155,0.014862726381484934,yes,5.034172397185893,0.028554829643463082,-0.2067689053410894,0.01755056781327346,yes,0.084,114.0,0.0001531981037131462,332
Otu000191,1.2039351647767316,0.27692071769973825,-0.09148598625066104,0.29334303753664936,no,11.760059054081296,0.0010999790921353652,-0.3960867265996828,5.377679049635766e-06,yes,8.112040870910457,0.006014015638461182,-0.323109465891063,0.0002062269079321965,yes,0.022,342.0,9.881145416676721e-05,332
Otu000275,4.2886039229197666,0.042678437844698575,-0.1560021152829191,0.07315633590447475,no,18.217295005459057,7.116256565074431e-05,-0.3209941829719726,0.00022694220012952664,yes,14.665290718427865,0.00030927630746793163,-0.3114754098360656,0.00034671825485333883,yes,0.052,210.0,0.0005953321790227738,332
Otu000857,2.0825357048774977,0.1541932523065526,-0.13696456901110526,0.11567548243092071,no,1.2865778000264687,0.2611910549629844,-0.16023268112109995,0.06570267080095522,no,1.7833212249885102,0.1867862366175543,-0.18455843469063987,0.03401831392926335,yes,0.086,106.0,8.552381834367939e-05,332
Otu001293,6.476000582956819,0.013524383767907822,-0.24061343204653624,0.005714879363194538,yes,4.8478341679823975,0.03153678380417931,-0.2554204124801692,0.0033485984709979246,yes,6.329881677899761,0.014565828472679634,-0.2924378635642517,0.0007823434509542922,yes,0.012,403.0,0.0002547655627657755,332
Otu000604,0.11172678557047794,0.7393522840196123,-0.041776837652035964,0.6313323066185197,no,3.377883357373017,0.07102902970538685,-0.18138551031200426,0.03721386280277783,yes,2.101276089700913,0.15238333759712164,-0.15917503966155475,0.06750474728448311,no,0.046,238.0,3.129405104127308e-05,332
Otu000078,0.020743496747268005,0.8859625802368396,-0.007932310946589107,0.9274042120837687,no,29.43664343485459,1.091820414280138e-06,0.3537810682178742,4.8329743821372684e-05,yes,13.320005624891657,0.0005520200446447539,0.2554204124801692,0.0033485984709979246,yes,0.0,461.0,0.0001043480464717223,332
