Samples,Total.cells,HNA.cells,LNA.cells,sd.Total.cells,sd.HNA.cells,sd.LNA.cells
Z14-21-1,5858.32022090727,1932.70427039539,3895.71892125136,69.9926869033162,26.5503434771063,44.9064713714077
Z14-22-1,5510.35329260552,1688.15314881199,3791.44665044466,92.3862317804502,31.8281138178667,66.9027521957399
Z14-23-1,8056.45460431974,4425.48818605009,3531.68678591234,197.550304731973,99.0390861958479,103.372986507656
Z14-24-1,5307.72787375902,1960.33839259188,3317.68573652194,102.108499291247,33.0690048081133,71.2917036666989
Z14-25-1,4814.87286056614,942.951327217328,3835.06590533801,84.0141184851533,11.6829150510445,73.5942089328839
Z14-26-1,4504.5768239418,905.879283062522,3572.08192911349,172.584478557724,49.4473290358639,129.750031781741
Z14-27-1,3552.38922934735,1140.61802812676,2389.18339384578,107.327801284392,47.6790069874923,66.3200980475668
Z14-28-1,4040.2242592151,824.368390116322,3182.37053461678,100.07813316465,28.2273871995612,69.6483364419892
Z14-29-1,8049.15505726348,3350.07206514709,4674.73424203864,254.812640349664,116.793994802814,137.370880195906
Z14-3-1,11576.6567578311,6309.98069550845,5171.0994795583,285.459082379719,235.274797525854,88.2141624110639
Z14-30-1,5921.62100774284,2506.06628818574,3384.72081883816,114.353613276975,61.2290309844852,56.2454787900125
Z14-31-1,5041.17503103184,2606.16633566433,2416.44221494668,61.5314899489105,27.9404694172934,29.2863746325357
Z14-32-1,5934.67764644708,2506.41772872284,3390.57567455764,45.3532350683697,49.5708902547802,28.0322151990843
Z14-33-1,5143.01340897763,1771.09275439722,3315.01137590462,118.665090592921,23.3395529546642,96.3454148682411
Z14-34-1,5417.50251155097,1871.33742979349,3499.0261964928,176.478672821887,55.4926145473795,134.370286957
Z14-35-1,4060.47798552856,1102.19031474327,2926.43033483299,55.1716764604377,24.9695047450372,30.0679977459529
Z14-36-1,5509.55147219723,1955.89158439116,3497.21911039163,42.45996480204,19.5375678133287,27.1588139199625
Z14-37-1,5095.87248880423,1263.93669257753,3801.40076688307,273.143980692501,43.3383153061238,230.092003919499
Z14-38-1,5535.20305434933,1368.69045107663,4125.77497098469,62.5657175031181,16.5425841124296,55.0389922556597
Z14-39-1,5200.32600511874,1240.81710942792,3927.50866897188,116.854799039191,37.2534559346594,80.6097747907685
Z14-4-1,8580.12374758149,2254.008797602,6282.33683705023,148.847106021768,21.1795260074561,131.917266721397
Z14-40-1,5857.28921830632,1486.73629680786,4339.32733379573,65.1825899262459,20.4717048086502,49.5232034205001
Z14-41-1,6951.46706726831,2381.4747264758,4524.72209230437,112.257276855039,58.1528739026267,58.3990696399159
Z14-42-1,6908.41529973383,2295.4464281999,4568.27630702586,69.0738517653518,56.9393872521078,21.5080254349105
Z14-43-1,3896.71148702654,958.042538843214,2909.16821185133,53.7211954410839,24.7264783435578,32.4038152917706
Z14-44-1,7385.5528965107,2425.85612375287,4915.64662728781,81.1296551037419,51.4784137987262,24.5601373198024
Z14-45-1,5981.59926590632,1649.47378268169,4297.900334021,193.355914252442,50.9536440537054,147.870241683395
Z14-46-1,5469.4514875873,1481.94380226074,3946.85663373689,41.2957997517631,15.6092630288607,30.3847983873309
Z14-47-1,6347.69662314028,2165.60508656593,4157.34644514252,40.1086019306194,14.5467728564817,36.3861351386558
Z14-48-1,5827.71040905877,1377.91246014598,4422.6322729691,20.9053530167133,22.9154631675549,11.761854669429
Z14-5-1,9396.16488113599,1877.19789819828,7482.68020124631,119.748775879492,34.3048544653397,105.676041900177
Z14-50-1,4215.78865804455,1156.86530304331,3017.22148047917,49.1212189372731,13.2871115848458,40.1072734787845
Z14-51-1,4814.66149466182,1465.46332965227,3301.64395214572,67.5760745256799,16.1110338561457,52.7609416839203
Z14-53-1,3930.40033604002,1039.72695044919,2861.68845244998,23.048714980098,25.5303536984139,13.2323628395351
Z14-55-1,7418.8224034955,3369.56676911002,3934.365628765,194.631273902541,98.34536786328,101.13381695406
Z14-57-1,6298.41315934957,2160.71725209119,4107.29972483404,24.1469054845118,25.8679244732489,10.7956802245463
Z14-59-1,5334.39198410356,1689.77551580749,3620.92000154601,92.1448947222964,34.53804894298,64.3412023912778
Z14-6-1,10096.7057526628,2054.04366344654,8000.39582085614,87.2434389735545,8.57238655669133,80.7553265440478
Z14-61-1,4182.58246629081,1400.82567753059,2751.88116387316,55.2010492454737,35.1073587580557,34.8045818189412
Z14-63-1,3846.02043193363,1271.8121631497,2549.90554855372,45.5925039452467,33.8123048289413,8.61286819132205
Z14-65-1,2120.13187581681,775.19612697888,1242.5156762856,231.758639153399,46.565535030272,177.842796613634
Z14-67-1,2026.52192563787,763.164793168181,1164.39146574004,291.953836198186,109.094679237604,172.99383901998
Z14-69-1,2577.55404970362,860.581188124699,1689.2572920615,53.0172652837496,21.0241941469601,37.7209832699091
Z14-7-1,8434.93826682341,5031.89481858047,3260.8132951892,457.583032436632,360.069857625631,194.120095470654
Z14-71-1,3733.4094302126,1533.9549233269,2149.80632001356,49.1112634621407,51.0726296949624,7.99049520039883
Z14-73-1,5647.21243804725,2244.99845772615,3349.77077635917,41.6261359730287,37.4292724405072,8.79386436398293
Z14-75-1,5796.18242947197,2350.97445436667,3398.10305464198,188.827692636728,110.634211879354,74.51484806097
Z14-77-1,6591.03728833864,2317.18129314503,4244.86832816243,79.7130986081442,49.441733584898,27.3118521162061
Z14-79-1,6614.51859833369,2305.42343783026,4280.71299437492,49.6677247658421,16.4490972716538,35.9640420563675
Z14-8-1,10316.6206761127,2108.99232129201,8176.05260635853,217.096589083273,57.4065770927077,164.942469179269
Z14-9-1,8752.41304602615,2070.64542806177,6642.78240611785,45.977777213049,32.5935077980563,16.9259654325881
