Samples,Total.cells,HNA.cells,LNA.cells
MM15-S-N_September_rep1.fcs,2330.57356608479,762.8927680798,1567.68079800499
MM15-S-N_September_rep2.fcs,2330.49410544374,772.376373900381,1558.31720891265
MM15-S-N_September_rep3.fcs,2359.64020024332,767.86533437045,1591.77486587287
Muskegon_April_rep1.fcs,3762.92267391869,2046.23167829791,1716.89095962727
Muskegon_April_rep2.fcs,3691.36763913017,2014.81658978813,1676.55104934204
Muskegon_April_rep3.fcs,3720.93487415923,2031.21569566693,1689.71917849231
110D2-1015-2_rep1.fcs,4040.52947870705,2158.60402898956,1882.04524128017
110D2-1015-2_rep2.fcs,4038.98433451588,2163.6305656316,1875.51321401523
110D2-1015-2_rep3.fcs,4016.49106733852,2137.62472863431,1878.98583919218
110D2-115-2_rep1.fcs,622.668980234947,148.188037256427,474.48094297852
110D2-115-2_rep2.fcs,620.125660716067,154.58262690735,465.543033808717
110D2-115-2_rep3.fcs,623.055444754687,156.761069006781,466.294375747906
110D2-415-2_rep1.fcs,791.006928498692,171.355549787353,619.651378711339
110D2-415-2_rep2.fcs,804.025508170586,178.9159027501,625.109605420486
110D2-415-2_rep3.fcs,809.014331909457,180.446325202603,628.568006706855
110D2-515_rep1.fcs,1278.44640041514,417.180607947628,861.345628006307
110D2-515_rep2.fcs,1285.71997610038,418.243377813185,867.556263692491
110D2-515_rep3.fcs,1255.85391193159,397.786302245665,858.147526572365
110D2-715-2_rep1.fcs,550.176530429059,150.998344403886,399.178186025173
110D2-715-2_rep2.fcs,544.482566025692,147.251256682359,397.271204021384
110D2-715-2_rep3.fcs,538.103141434542,147.453458377492,390.689675858345
110D2-815_rep1.fcs,546.245658855934,142.629036764999,403.65654065706
110D2-815_rep2.fcs,553.385078915338,149.689726041064,403.695352874274
110D2-815_rep3.fcs,550.162846923892,149.939057286151,400.223789637741
110D2-915-2_rep1.fcs,730.588141409305,213.869603383609,516.718538025696
110D2-915-2_rep2.fcs,706.482736623874,205.326528984929,501.156207638944
110D2-915-2_rep3.fcs,775.271045918367,218.630420918367,556.640625
110M2-1015-1_rep1.fcs,962.369672032916,262.813086725522,699.556585307394
110M2-1015-1_rep2.fcs,955.169186034933,268.14841369421,687.020772340722
110M2-1015-1_rep3.fcs,961.64733086154,271.737830403062,689.949368097915
110M2-115-2_rep1.fcs,1953.54401355797,552.686671318911,1401.05672415512
110M2-115-2_rep2.fcs,2100.70622032478,614.451582013327,1486.25463831145
110M2-115-2_rep3.fcs,2086.28358298263,611.923330075593,1474.36025290703
110M2-415-2_rep1.fcs,1164.67789970218,357.738202314565,806.93969738762
110M2-415-2_rep2.fcs,1167.37701653057,358.93248356901,808.444532961561
110M2-415-2_rep3.fcs,1159.5691532943,356.387762035131,803.221358486041
110M2-515_rep1.fcs,1315.19699812383,421.180791185981,894.016206937847
110M2-515_rep2.fcs,1229.67434979909,380.504967714851,849.209363692701
110M2-515_rep3.fcs,1192.95653736349,367.146479266905,825.849987023099
110M2-715-2_rep1.fcs,1127.78977681785,381.529477641789,746.260299176066
110M2-715-2_rep2.fcs,1073.82845271863,365.307019296073,708.521433422556
110M2-715-2_rep3.fcs,1014.60860528788,339.535162573193,675.193349187634
110M2-815_rep1.fcs,2426.06596300804,908.757157964046,1517.34871007003
110M2-815_rep2.fcs,2453.72550584667,918.984714850142,1534.86051801892
110M2-815_rep3.fcs,2482.48515522257,952.138046467142,1530.46666400988
110S2-1015-2_rep1.fcs,1429.51960176726,386.077847304132,1043.44175446313
110S2-1015-2_rep2.fcs,1429.81215513635,388.996235134758,1040.81592000159
110S2-1015-2_rep3.fcs,1397.66689305261,384.32343893572,1013.3434541169
110S2-415-2_rep1.fcs,1095.15833133924,332.256520698732,762.941692589934
110S2-415-2_rep2.fcs,1089.60774121316,334.839457795194,754.76828341797
110S2-415-2_rep3.fcs,1029.30541960487,305.759204139116,723.586168321381
110S2-515_rep1.fcs,992.222022274209,288.604962709695,703.617059564513
110S2-515_rep2.fcs,986.321641403032,296.964364276287,689.357277126745
110S2-515_rep3.fcs,980.088760945184,291.191875574747,688.936867778178
110S2-715-2_rep1.fcs,1160.71678286753,339.013524581977,821.743212737479
110S2-715-2_rep2.fcs,1129.19994423311,322.8903184688,806.349459260292
110S2-715-2_rep3.fcs,1150.94038254203,337.73908876732,813.24122509284
110S2-815_rep1.fcs,1468.9990436723,431.06471150781,1037.97417915206
110S2-815_rep2.fcs,1494.51734675535,451.395130525096,1043.16216270198
110S2-815_rep3.fcs,1512.64468923052,457.447871893805,1055.23680054377
110S2_115_2_rep1.fcs,1644.7014255807,475.326487887549,1169.37493769315
110S2_115_2_rep2.fcs,2119.04287138584,616.749750747757,1502.4925224327
110S2_115_2_rep3.fcs,2160.97638800255,637.563816209317,1523.41257179324
110S2_915_2_rep1.fcs,1285.24707853069,314.880548797511,970.366529733179
110S2_915_2_rep2.fcs,1313.17968672054,311.882669859324,1001.29701686122
110S2_915_2_rep3.fcs,3350.0947820014,2287.53866107952,1062.55612092188
M45D2-1015-1_rep1.fcs,913.373556558916,175.170815519239,738.242697886283
M45D2-1015-1_rep2.fcs,919.42862850864,177.0852062731,742.343422235541
M45D2-1015-1_rep3.fcs,946.686915514347,183.838222364319,762.888657980977
M45D2-115-2_rep1.fcs,1667.16528052015,412.453379604699,1254.71190091545
M45D2-115-2_rep2.fcs,1675.34254771735,418.037854763757,1257.30469295359
M45D2-115-2_rep3.fcs,1625.08227128583,412.652825146094,1212.62889168113
M45D2-415-2_rep1.fcs,1124.64266437439,337.764628270995,786.918017711852
M45D2-415-2_rep2.fcs,1146.44334739072,350.408730238043,796.034617152679
M45D2-415-2_rep3.fcs,1130.11330708819,336.244279690654,793.908994624408
M45D2-515_rep1.fcs,1732.55232802223,724.97551028568,1007.65678415066
